text,classification 1,classification 2
uh what's happening?,Neutral statement,Not bully
So suddenly i'm inlove with a stranger<ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>,Neutral statement,Not bully
Nakakatakot na mabuhay<ed><U+00A0><U+00BD><ed><U+00B9><U+0081>,Neutral statement,Not bully
Ang laki papala,Neutral statement,Not bully
Martial Law already declared,Neutral statement,Not bully
kati ng pwet ko,Neutral statement,Not bully
@ThePirateCutie di m naman pinaparamdam eh hahaha,Neutral statement,Not bully
nakakaantok,Neutral statement,Not bully
we need more people like this https://t.co/l4Mc6Xkk70,Neutral statement,Not bully
stop being so childish <ed><U+00A0><U+00BD><ed><U+00B9><U+0083>,Neutral statement,Not bully
Can't sleep with all these news <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #PRAYPRAYPRAY,Neutral statement,Not bully
"I feel it in my bones, You are about to move!!!!!!!!!!!!",Neutral statement,Not bully
Alam mo yung mas masakit? Yung wala kang magawa kundi ang ipagdasal nalang na sana maging ligtas ang bawat isa at matapos na ang kaguluhan<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>,Neutral statement,Not bully
https://t.co/MCOm1W9sIe,Neutral statement,Not bully
<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> @ Makati Avenue https://t.co/isErrbSWOw,Neutral statement,Not bully
<U+2705>2/4 <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B9><U+008C> https://t.co/6bQ2uHku0T,Neutral statement,Not bully
@joeythegago this thread tho <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>,Neutral statement,Not bully
Set aside differences in political views at times like this,Neutral statement,Not bully
#PrayForMindanao <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>,Neutral statement,Not bully
Tomorrow. I'll be standing in front of the main bldg. for an hour as a sign of support for the people of Marawi,Neutral statement,Not bully
Just a bad day indeed.,Neutral statement,Not bully
ako lang ba pero parang ok din na matapos na yung mundo?,Neutral statement,Not bully
Damn lakas ng tama mo sakin.,Neutral statement,Not bully
@tmacshuai <U+6709><U+73A9><U+5417>,Neutral statement,Not bully
Don't let social media fool you.,Neutral statement,Not bully
Mornight,Neutral statement,Not bully
TRUST OUR GOV'T WITH THIS!!! Don't keep yourself busy by overreacting <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>,Neutral statement,Not bully
tino na ko neto sa congre bish hahaha,Neutral statement,Not bully
"#PrayForMarawi Lord please keep the people of marawi safe, they badly need you now. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>",Neutral statement,Not bully
"I won't hide the fact that I'm so bothered right now, an ML declaration means the situation in Marawi has become graver.",Neutral statement,Not bully
Kim soo hyun and Jun ji hyun<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Ibalek nyo na uli yung loveteam nyo!<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,Neutral statement,Not bully
Ig story: @Troi01 https://t.co/E0cQdBnilx,Neutral statement,Not bully
Goes to show your poor comprehension of a) Martial Law b) Geography c) Terrorism and d) logic in general.,Neutral statement,Not bully
"To that person who is apathetic about the Marawi issue on Twitter, that the war is normal in Mindanao, shut up ka na lang gago.",Negative statement w/o bullying intentions,Not bully
"For those wondering why President Duterte declared Martial Law in Mindanao all of a sudden.

https://t.co/u8zKwvcT5o",Neutral statement,Not bully
outdated,Neutral statement,Not bully
"Let's 

#PrayForMarawi #PrayForTheWorld <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",Neutral statement,Not bully
"Too many innocent people killed, and prolly a lot more to come. This is why i am crying my heart out right now. Atay naunsa naman ni <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",Neutral statement,Not bully
Bakit ganon kailangan pa pumatay #PrayForMarawi,Neutral statement,Not bully
sobrang nakakashookt ang mga happenings. i need a break.,Neutral statement,Not bully
"happy birthday, godbless!!<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BC><ed><U+00BE><U+0081><ed><U+00A0><U+00BC><ed><U+00BE><U+0089> @zeljoyceee",Neutral statement,Not bully
grabe na :(((,Neutral statement,Not bully
<ed><U+00A0><U+00BD><ed><U+00B9><U+008F> https://t.co/Gedhm8JoxP,Neutral statement,Not bully
Dami gastusin <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0094>,Neutral statement,Not bully
Smile lang hihi,Neutral statement,Not bully
"Don't worry, God is in control of everything. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>",Neutral statement,Not bully
Decisions. Consequences. -_-,Neutral statement,Not bully
"@vanzmercado good night miss vanessa



LovingInTandem KISSMARC",Neutral statement,Not bully
Inext ko <ed><U+00A0><U+00BE><ed><U+00B7><U+0080> in the trap,Neutral statement,Not bully
i love you so much thank you for always lighting up my mood when im down and for making me happy everyday https://t.co/xhyPMo9w3b,Neutral statement,Not bully
Sofi de la Torre<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>,Neutral statement,Not bully
Gutooooommmm,Neutral statement,Not bully
"Just posted a photo @ Dambana ng Kagitingan (Mt. Samat, Pilar, Bataan) https://t.co/JqYVvALVjt",Neutral statement,Not bully
these people keep on thinking that marcos' martial law and today's martial law are the same. THEY ARE TOTTALY DIFFERENT my friends so pls.,Neutral statement,Not bully
"Article 7, Section 8: Martial Law can only be done ""in case of invasion or rebellion, when the public safety requires it.""",Neutral statement,Not bully
Loot loot loot<ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0>,Neutral statement,Not bully
"@BryJosh @frncsivan PINCTURAN KA NA NON. ""SHOUTOUT PO DITO SA LALAKING TO SINANDALAN AKO BIGLA "" HAHAHAHAHAHHAHA SIKAT KA NA BRY",Neutral statement,Not bully
"Whether in Europe or here in Mindanao, no one is safe for terrorist attacks :(",Neutral statement,Not bully
ya what's this,Neutral statement,Not bully
"Berderet mesej masuk, siap terus bg pic even tak mintak dgn harapan sigebu comel akan berkenan. Itulah hakikatnya.. kalau xde rupa, susah.",Neutral statement,Not bully
Samgyupsal<ed><U+00A0><U+00BC><ed><U+00BD><U+00B4><ed><U+00A0><U+00BD><ed><U+00B8><U+008B> https://t.co/tfzIj6btta,Neutral statement,Not bully
DI NA MAKAYA NG BRAIN CELLS KO.,Neutral statement,Not bully
Fiction reveals the truth that reality obscures.,Neutral statement,Not bully
gn <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>,Neutral statement,Not bully
Facebook no more,Neutral statement,Not bully
Can't study properly :---( kakasad nung mga balita. Nakakawalang gana men,Neutral statement,Not bully
Peste ka https://t.co/JojjP0yUua,Negative statement with bullying intentions,Bully
Just posted a photo @ Starbucks Hanston Bldg. https://t.co/5y2bpS6tLi,Neutral statement,Not bully
Jini my awsome freak friend<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Love u girl just kidding https://t.co/l7TFlnzswK,Neutral statement,Not bully
Paano mo nagagawa to? <ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+00A4><U+2639><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+0092><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>,Neutral statement,Not bully
kauwagan ba ihunong oy,Neutral statement,Not bully
At halos lahat ng kanta na naririnig ko ngayon siya ang naaalala HAHAHAHAHHHAA. Char https://t.co/NtQSIO01tV,Neutral statement,Not bully
Boss Ernie's Surprise Demin inspired Despedida Party <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #despedida #stayhealthy? https://t.co/n0atNBLGZB,Neutral statement,Not bully
https://t.co/PVaTxpP36F,Neutral statement,Not bully
wala na diay ang twins :----( #AsNTM5,Neutral statement,Not bully
Can't wait for you do be doctor<ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> doc. @enkelivldcnts,Neutral statement,Not bully
#askjonaxx bat ang galing mong gumawa BS kwin ? Lalo na yung kay vince HAHAHA,Neutral statement,Not bully
natatawa pa din ako sa kantahan kanina <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
4 yrs ago palang yun wthhhh,Neutral statement,Not bully
Apathy is complicity. Silence is complicity. Take no shit. #Resist,Neutral statement,Not bully
mura ata kog ulod dri nagsayawsayaw sa beat sa Despacito.....,Neutral statement,Not bully
Salamat sa libre Chelluh Yaeso my best friend!!!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
Pagputi ng uwak <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
ho ho ho https://t.co/TYGB1puq3E,Neutral statement,Not bully
"Before sex u help each other get naked,After sex u only dress urself. Moral lesson in life no one helps u Once you're fucked!

#realtalk",Neutral statement,Not bully
I know i know,Neutral statement,Not bully
Happy Fiesta La Paz <ed><U+00A0><U+00BD><ed><U+00B1><U+008C> https://t.co/L5ha6rNz3H,Neutral statement,Not bully
42% of the Philippines's Trends for Wednesday 24 were hashtags: https://t.co/yCoVAPXLqK #trndnl,Neutral statement,Not bully
https://t.co/Le9H8ucxt1,Neutral statement,Not bully
"Sorry po, slow pa ko sa tanan slow <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",Neutral statement,Not bully
someday.,Neutral statement,Not bully
ay 5 pala,Neutral statement,Not bully
Hala enebe eunwoo <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><U+2665><U+FE0F> https://t.co/RXl8seGSOb,Neutral statement,Not bully
Kyaaah,Neutral statement,Not bully
Ang kj ni mama<ed><U+00A0><U+00BD><ed><U+00B8><U+0094>,Neutral statement,Not bully
@PambingGwapo sige pag nagpalit ka na lang ulit atska ko pusuan. inform mo na lang ako <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
ASJDJSJSJSJA https://t.co/KUqtpOEbgc,Neutral statement,Not bully
Fuck,Negative statement w/o bullying intentions,Not bully
tangigit *-*,Neutral statement,Not bully
"COVER TO COVER BA TALAGA SA BASNUT. 

ASSDFFGHHJKLLL",Negative statement w/o bullying intentions,Not bully
@PhilipSaladio bla bla bla <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
srsly nakakamiss ka sobra pero wala di kana dapat kausapin pa,Neutral statement,Not bully
@SuicidalSoviet Mein Delegates,Neutral statement,Not bully
Humans without humanity <ed><U+00A0><U+00BD><ed><U+00B1><U+0080>,Negative statement w/o bullying intentions,Not bully
HAHAHAHA FINALLY AT THIS VERY MOMENt 12:27AM NASAGOT KO NA LAHAT NG KINOCONTEMPLATE KO HAHAHAHAHAHA,Neutral statement,Not bully
"Hadits Tirmidzi 1338



<U+062D><U+064E><U+062F><U+064E><U+0651><U+062B><U+064E><U+0646><U+064E><U+0627> <U+0633><U+064E><U+0644><U+064E><U+0645><U+064E><U+0629><U+064F> <U+0628><U+0652><U+0646><U+064F> <U+0634><U+064E><U+0628><U+0650><U+064A><U+0628><U+064D> <U+0648><U+064E><U+062D><U+064E><U+0627><U+062A><U+0650><U+0645><U+064F> <U+0628><U+0652><U+0646><U+064F> <U+0633><U+0650><U+064A><U+064E><U+0627><U+0647><U+064D> <U+0627><U+0644><U+0652><U+0645><U+064E><U+0631><U+0652><U+0648><U+064E><U+0632><U+0650><U+064A><U+064F><U+0651>? https://t.co/CfCTKKSo4O",Neutral statement,Not bully
cramming is my hobby ganon?,Neutral statement,Not bully
Kinsay gahimo ani? Hahahahahhahaa https://t.co/1irEoen2i3,Neutral statement,Not bully
aws pako na guboh HAHAHA laban sesh,Neutral statement,Not bully
kilay kasi talaga eh hays,Neutral statement,Not bully
Ate @maxinejiji buong gabi eto lang ginagawa ko. Para matapos ko ito para sayo! https://t.co/q5CcITVrjQ,Neutral statement,Not bully
"medyo makirot padin sikmura ko, why kaya?",Neutral statement,Not bully
Kelan pa naging +86 yung umpisa ng number sa middle east?,Neutral statement,Not bully
Wildest Dream https://t.co/Z1wAwon4nw,Neutral statement,Not bully
CAMP NA BUKAS TAS DI PA AKO NAGIIMPAKE,Neutral statement,Not bully
"4 days nalang hehe diba taena, taena diba",Negative statement w/o bullying intentions,Not bully
nakoooo,Neutral statement,Not bully
sobra kong na down,Neutral statement,Not bully
makuha ka sa tingin <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> https://t.co/uaY0x87C9z,Neutral statement,Not bully
@LagranaJohn kupal bat moko tinulugan,Neutral statement,Not bully
OMGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,Neutral statement,Not bully
@punzalancymon @virayjoshlyn Ohhhhhh!!!!! Mahirap hiwalay kayo ksi bro,Neutral statement,Not bully
Tangina ang sakit.,Negative statement w/o bullying intentions,Not bully
tanginang neuro why have to be this demanding <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3> <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>,Negative statement w/o bullying intentions,Not bully
Home <U+25B6> Lima <U+25B6> Levitown <U+25B6> Balete <U+25B6> Bilucao <U+25B6> Poblacion <U+25B6> Bagong Pook <U+25B6> Home,Neutral statement,Not bully
<ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>,Neutral statement,Not bully
drunk!,Neutral statement,Not bully
germs,Neutral statement,Not bully
Pillowtalk https://t.co/LqRPmzJtk8,Neutral statement,Not bully
NING CHAT JOD SIYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Neutral statement,Not bully
"10 years from now, swag ain't gonna pay the bills.",Neutral statement,Not bully
Hindi tlga lahat ng makakasalimuha mo eh maganda ang salita sayo. Yung iba mabait nga matalas naman ang dila.,Neutral statement,Not bully
@jnnxortiz Ewan <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
Deym.,Negative statement w/o bullying intentions,Not bully
Yung video na bawal ipost. 10k ang shares. Alin ba??? Hahahahaha,Neutral statement,Not bully
Para akong tangang nagd'drama sa mga kaibigan ko,Neutral statement,Not bully
@reynabonettaa walaaay lain pwede e shat? hahahaha puyo ta uy way kwrta HAHAHAHA,Neutral statement,Not bully
Maimbyerna ra gyud ka ana niya. Pataka ra siya ug istorya. https://t.co/ssiNGsCWrf,Neutral statement,Not bully
Gsto kong iunfriend na nila ako HAHAHA <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
tang ina tang ina tang ina tang ina tang ina tang ina tang ina tang ina tang ina tang ina tang ina tang ina tang ina tang ina tang ina,Negative statement w/o bullying intentions,Not bully
Wala ng tao!!! Ako na lang... kaya pa <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #vantageinternational #coachpatg @ Vantage International https://t.co/sUpwDgTJLe,Neutral statement,Not bully
Atm. https://t.co/edcEMvvGxh,Neutral statement,Not bully
Shet anshaketttt,Negative statement w/o bullying intentions,Not bully
@OnelTy_ ayy paano 'yun? :---(,Neutral statement,Not bully
HAHAHAAHHAHAAH EFFECTIVE AKONG PAGTWEET HAHAHAHHAAHHAHAHA,Neutral statement,Not bully
@Dhudotwszxc Aysus!,Neutral statement,Not bully
predicted di na sya tung akong nakaila before,Neutral statement,Not bully
Onti nalang pls,Neutral statement,Not bully
Yes she is <U+2764> loveyou https://t.co/L0aMQXu4sR,Neutral statement,Not bully
Hassle,Neutral statement,Not bully
i would like to thank my fans! for defending and supporting me kahit ano man mangyari <U+263A><U+FE0F> #ShamNielFTW https://t.co/QSQizwXQfT,Neutral statement,Not bully
"mi fav date of all toooiiime! <ed><U+00A0><U+00BD><ed><U+00B8><U+0092><U+2661> (@ Sensei Sushi Bar in Parañaque, Metro Manila) https://t.co/7Jh4kKwQ7f https://t.co/Bmwybs7vAf",Neutral statement,Not bully
Ugh https://t.co/mo3rovDPvS,Neutral statement,Not bully
the scene is hot https://t.co/ay1mx6oDQK,Neutral statement,Not bully
Wala ako talaga rest <U+2639><U+FE0F>,Neutral statement,Not bully
Pedro Gil and Padre Faura streets at this our are so aesthetically pleasing to the eye.,Neutral statement,Not bully
Its not a sin,Neutral statement,Not bully
"di pa me makapagenroll. bukod sa wala pa kon twenti kyaw, tagal magasikaso ng mga needs jusko nu na",Neutral statement,Not bully
think abt his negative side,Neutral statement,Not bully
Rewriting my school notes shit,Neutral statement,Not bully
"Asar, shut up nalang plst <ed><U+00A0><U+00BD><ed><U+00B8><U+0094>",Neutral statement,Not bully
VOTE VOTE VOTE VOTE VOTE VOTE #Niall4MMVA,Neutral statement,Not bully
Nagising ang katawang lupa ko dahil kay DJ cha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
@jnnxortiz Para namang ang daming nagmamahal sayo <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Djk HAHAHAHA,Neutral statement,Not bully
@RhijennShakee Anya met mare. Makapabwesit ka met! WAHAHAHAAH <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
@jopaylabyu bakit :'(,Neutral statement,Not bully
K :))))))),Neutral statement,Not bully
HAHAHAHAHAHAHA https://t.co/qWrY9cNq0F,Neutral statement,Not bully
"Metro closed, so it's home with all my luggage on the back of a three-wheel motor bike. Just don't tell my mum. https://t.co/qFU4Xmdwgd",Neutral statement,Not bully
No!!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+0094> https://t.co/XIeccvOZ20,Neutral statement,Not bully
help 'cuz i can't sleep,Neutral statement,Not bully
"First day of work .. DONE .. thank you Lord for guiding me ..



I offer you everything oh Lord.? https://t.co/ghdoeSI2I4",Neutral statement,Not bully
Oo. <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> https://t.co/PoEOyc1Dsb,Neutral statement,Not bully
@airaleighh air alam mo hindi talaga bagay satin <ed><U+00A0><U+00BD><ed><U+00B9><U+0082>,Neutral statement,Not bully
#HappyCheetahDay <ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089> https://t.co/H4RA7clxkL,Neutral statement,Not bully
o wow i luv!!1!1!1!1!1!1!1!1!1!1!1!1!!1!!,Neutral statement,Not bully
think positive lang ahe,Neutral statement,Not bully
No To Martial Law daw so ano?,Neutral statement,Not bully
@FabKimK Nooooo! We need you <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>,Neutral statement,Not bully
#HappyBirthdayRicci just started trending with 10026 tweets. More trends at https://t.co/dRwxiUtCOV #trndnl,Neutral statement,Not bully
Deym puyat for the first time again<ed><U+00A0><U+00BD><ed><U+00B9><U+0082>,Neutral statement,Not bully
@jnnxortiz Blind ka lang. Blind sa pagmamahal ni... <ed><U+00A0><U+00BD><ed><U+00B8><U+00B7>,Neutral statement,Not bully
@HoyGwapo happy birthday ryann!! <ed><U+00A0><U+00BC><ed><U+00BE><U+0088>,Neutral statement,Not bully
"I'm at Starbucks Coffee - @starbucksph in Tagaytay City, Cavite https://t.co/O3rcbVt8Si",Neutral statement,Not bully
<ed><U+00A0><U+00BD><ed><U+00B8><U+0085>,Neutral statement,Not bully
Punyemas nakakatakot<ed><U+00A0><U+00BD><ed><U+00B8><U+00AB>,Neutral statement,Not bully
all this delay hunting and i just might end up with a dd-7.,Neutral statement,Not bully
@Raze_WP talga? Sana mapansin mo din mga ask ko <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #AskKuyaKib,Neutral statement,Not bully
reading articles <ed><U+00A0><U+00BD><ed><U+00B1><U+00A9><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><ed><U+00A0><U+00BD><ed><U+00B2><U+00BB>,Neutral statement,Not bully
HAHAHA IT LOOKS SO GOOD ON YOU! Proud! You're my favorite client so far! Hahahaha https://t.co/mSw9f7zECw,Neutral statement,Not bully
"<ed><U+00A0><U+00BD><ed><U+00B2><U+0094><U+2764><U+FE0F> Get well soon, Oppa <U+2764><U+FE0F> https://t.co/SR0FAORXj7",Neutral statement,Not bully
"idk, wtd <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>",Neutral statement,Not bully
Kuala Lumpur was the city of Malaysia with more Trends on Wednesday 24: https://t.co/2lPn4TSE5Y #trndnl,Neutral statement,Not bully
"In a world where everyone wears a mask, it's a privilege to see a soul. <ed><U+00A0><U+00BD><ed><U+00B8><U+008C>",Neutral statement,Not bully
"?Jesus said to him, 'I will come and heal him.'? ? Mt. 8:7 <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> | Woah. Lord, bal'an ko madula lng mi trangkaso ko. Psh nano. May mission pa ta",Neutral statement,Not bully
Dia bilang dont let you dream be a dreams...bnyk btl dream..,Neutral statement,Not bully
cutan raba ko ni ian bei HAHAHAHA,Neutral statement,Not bully
"""Sana dumating sa point na mas mahal ko na yung sarili ko kesa sayo.""



<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>",Neutral statement,Not bully
Thank you! <U+263A><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B2><U+009A> https://t.co/0i9nXWMA62,Neutral statement,Not bully
Badly need <ed><U+00A0><U+00BC><ed><U+00BD><U+00B7><ed><U+00A0><U+00BC><ed><U+00BD><U+00B8><ed><U+00A0><U+00BC><ed><U+00BD><U+00B9><ed><U+00A0><U+00BE><ed><U+00B5><U+0082>,Neutral statement,Not bully
Shit!! Fuck sched bukas hanggang saturday <ed><U+00A0><U+00BD><ed><U+00B8><U+00AB>,Neutral statement,Not bully
ok lang ule ako https://t.co/Py7CkbjlWF,Neutral statement,Not bully
@senyoredto yung model syempre <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>,Neutral statement,Not bully
5:30pm nap was not good. Wide awake until now.,Neutral statement,Not bully
buti pa si bestfriend nasa hongkong na nag babakasyon huhuhu eh kami? @sheilafestejo <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,Neutral statement,Not bully
STAY SAFE EVERYONE <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>#PrayForJakarta https://t.co/gNKS5HDosQ,Neutral statement,Not bully
Shout out to Mark. I know you be lurking on me and read this. I love you boo <ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> https://t.co/T4a9kddUHg,Neutral statement,Not bully
Earlier with them :) #23rd #simple #candid #chill @ McDonald's Tagaytay Calamba Rd https://t.co/eF2S06AieH,Neutral statement,Not bully
@miiggssss love you,Neutral statement,Not bully
@ShaniaMSerrano HAHAHAH well pag mabuting puso talaga <ed><U+00A0><U+00BD><ed><U+00B2><U+0081><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>,Neutral statement,Not bully
im fucking dead https://t.co/XbDyBUyi4K,Neutral statement,Not bully
Best Song Ever <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> https://t.co/J0mi7MRA7Q,Neutral statement,Not bully
Happy belated birthday Ruiwen and Zixin <ed><U+00A0><U+00BC><ed><U+00BE><U+0087><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+008A>,Neutral statement,Not bully
"@TheTide follow me , im crying buffalo spicy wings",Neutral statement,Not bully
Happy birthdaaaay @RicciRivero06 <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>#HappyBirthdayRicci https://t.co/kDqMGM5EZ9,Neutral statement,Not bully
Good night earthlings. Bukas naman ipagpatuloy ang pighati. char jk. Haha,Neutral statement,Not bully
"No chance we're gonna make it, but baby can we fake it, cause even though I know you're not the one, this has really been a lot of fun. <ed><U+00A0><U+00BC><ed><U+00BE><U+00A4><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>",Neutral statement,Not bully
My 3rd day back in the gym.... #work<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> #gohard @ Parañaque https://t.co/2HF4Lh0rOp,Neutral statement,Not bully
Tulog nako <ed><U+00A0><U+00BD><ed><U+00B8><U+00B4>,Neutral statement,Not bully
I'm at Paraiso Homes in Zamboanga City https://t.co/2KV9oDjnhU,Neutral statement,Not bully
"No, I don't deserve this nor anyone does. But you pulled the wrong trigger, fam.",Neutral statement,Not bully
Sure! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/IfNWbF16ik,Neutral statement,Not bully
isang ep muna ng Goblin bago matulog<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>,Neutral statement,Not bully
Pray for MINDANAO<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>,Neutral statement,Not bully
"#PrayForManchester 

#PrayForMarawi 

#PrayForBangkok

#PrayForDhaka 

#PrayForJakarta

#PrayForLanaoDelSur 6 places in just 2 days!!!!",Neutral statement,Not bully
Day well spent with SSG Fam <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> https://t.co/uX5AsQzdcQ,Neutral statement,Not bully
